# V33a identity catalog: id, section, tier, kind, icon source type/id, progression, exact title
BEEFRAME	tools	runecraft	page	tool	beeframe	HIVE	Lifecycle Acceleration Frame
STRUCTFIND	tools	runecraft	page	tool	structurefinder	RUNEUSE,ANYSTRUCT	Aura Tracker
MOBSONAR	tools	runecraft	page	tool	mobsonar	KILLMOB,CHARGE	Creature Sounding Star
CAVEEXIT	tools	basiccraft	page	tool	cavepather	DEEPCAVE	Subterranean Route Finder
SPLINEATTACK	tools	runecraft	page	tool	splineattack	KILLMOB	Bezier Crystals
SHIELDEDCELL	tools	basiccraft	page	tool	shieldedcell	ARTEFACT	Corrosion Resistant Cell
BOTTLENECK	tools	networking	page	tool	bottleneck	REPEATER	Aura Visualization Crystals
SPAWNERBYPASS	tools	energy	page	tool	spawnerbypass	FINDSPAWNER	Spawner Interference Crystal
ENDEREYE	tools	energy	page	tool	endereye	NETHERROOF	Enhanced Ender Eye
LIGHTGUN	tools	basiccraft	page	tool	lightgun	DEEPCAVE	Illumination Gun
PROBE	tools	basiccraft	page	tool	probe		Examination Crystals
TELEGATELOCK	tools	endgame	page	tool	telegatelock		Transposition Crystals
ENDERBUCKET	tools	runecraft	page	tool	enderbucket	END	Voidlinked Bucket
WIDECOLLECTOR	tools	multicraft	page	tool	widecollector		Absorption Ring
NETHERKEY	tools	runecraft	page	tool	netherkey	NETHER,ANYSTRUCT	Nether Layer Crystal
RECIPECACHE	tools	multicraft	page	tool	recipecache	MULTIBLOCK	Recipe Tablet
ETHERPENDANT	tools	multicraft	page	tool	etherpendant	LUMA,END	Luma Capsule
STRUCTMAP	tools	rawexplore	page	tool	structmap	ANYSTRUCT,TOWER,ARTEFACT	Artifact Distribution Map
RESOURCEDESC	resources		parent	resource	resourcedesc		Resources
BERRIES	resources	rawexplore	page	tool	berry	DYETREE	Berries
SHARDS	resources	rawexplore	page	resource	shards	CRYSTALS	Shards
DUSTS	resources	energy	page	resource	dusts		Plants
GROUPS	resources	runecraft	page	resource	groups		Groups
CORES	resources	energy	page	resource	cores		Cores
HICORES	resources	pyloncraft	page	resource	hicores		Energized Cores
IRID	resources	multicraft	page	resource	irid	ALLOY	Iridescent Crystal
ORES	resources	rawexplore	page	resource	ores	CRYSTALS	Buried Secrets
CRYSTALSTONE	resources	basiccraft	page	block	pylonstruct		Crystal Stone
SEED	resources	runecraft	page	tool	seed		Crystal Seeds
FRAGMENT	resources	entry	page	tool	fragment		Fragments
AUGMENT	resources	pyloncraft	page	resource	augment	STORAGE	Upgrades
ALLOYS	resources	energy	page	resource	alloys	@ALLOY	Alloying
INSCRIPTION	resources	rawexplore	page	tool	datacrystal	TOWER	Inscription
BEES	resources	rawexplore	page	resource	bees	HIVE	Crystal Bees
TINKERTOOLS	resources	multicraft	page	resource	tinkertools		Mix-And-Magic Tools
BRANCHES	resources	energy	page	resource	branches		Magic Branches
FERTILITYSEED	resources	rawexplore	page	tool	fertilityseed	GLOWCLIFFS	Fertility Seeds
ARTEFACT	resources	rawexplore	page	tool	artefact	ARTEFACT	Mysterious Artifacts
PROXESSENCE	resources	endgame	page	resource	proxessence	DIMENSION	Proximal Essence
VOIDESSENCE	resources	rawexplore	page	resource	voidessence	VOIDMONSTER	Corrupted Essence
ABILITYDESC	abilities		parent	abilitie	abilitydesc		Abilities
REACH	abilities	pyloncraft	page	ability	reach		Reach Boost
MAGNET	abilities	pyloncraft	page	ability	magnet		Magnetism
SONIC	abilities	pyloncraft	page	ability	sonic		Sonic Blast
SHIFT	abilities	pyloncraft	page	ability	shift		World Shift
HEAL	abilities	pyloncraft	page	ability	heal		Instant Health
SHIELD	abilities	pyloncraft	page	ability	shield		Arrow Shield
FIREBALL	abilities	pyloncraft	page	ability	fireball		Fireball Source
COMMUNICATE	abilities	pyloncraft	page	ability	communicate		Peace Broker
HEALTH	abilities	pyloncraft	page	ability	health		Health Boost
PYLONPROTECT	abilities	energy	page	ability	pylon		Pylon Surge Protection
LIGHTNING	abilities	pyloncraft	page	ability	lightning		Bolt of Power
LIFEPOINT	abilities	pyloncraft	page	ability	lifepoint		Luminescent Sacrifice
DEATHPROOF	abilities	pyloncraft	page	ability	deathproof		Regeneration
SHOCKWAVE	abilities	pyloncraft	page	ability	shockwave		Shockwave
WARPLOC	abilities	endgame	page	ability	teleport		Location Warp
LEECH	abilities	energy	page	ability	leech		Health Leech
FLOAT	abilities	energy	page	ability	float		Water Strider
SPAWNERSEE	abilities	endgame	page	ability	spawnersee		Attentive Listening
BREADCRUMB	abilities	pyloncraft	page	ability	breadcrumb		Breadcrumb
RANGEBOOST	abilities	pyloncraft	page	ability	rangedboost		Enhanced Transferrence
DIMPING	abilities	endgame	page	ability	dimping		Elemental Sonar
DASH	abilities	pyloncraft	page	ability	dash		Lumen Dash
LASERBILITY	abilities	endgame	page	ability	laser		Skystrike
FIRERAIN	abilities	ctm	page	ability	firerain		Sky Ember
KEEPINV	abilities	endgame	page	ability	keepinv		Item Preservation
ORECLIP	abilities	ctm	page	ability	oreclip		Matter Phase
DOUBLECRAFT	abilities	ctm	page	ability	doublecraft		Fabrication Duplication
GROWAURA	abilities	endgame	page	ability	growaura		Fertility Aura
RECHARGE	abilities	endgame	page	ability	recharge		Passive Draw
MEINV	abilities	endgame	page	ability	meinv		Applied Hotbars
MOBSEEK	abilities	endgame	page	ability	mobseek		Piercing Vision
BEEALYZE	abilities	pyloncraft	page	ability	beealyze		Genetic Insight
NUKER	abilities	endgame	page	ability	nuker		Matter Dissolution
LIGHTCAST	abilities	energy	page	ability	lightcast		Lumen Flood
JUMPABILITY	abilities	energy	page	ability	jump		Lumen Launch
SUPERBUILD	abilities	energy	page	ability	superbuild		Linear Construction
CHESTCLEAR	abilities	energy	page	ability	chestclear		Collective Aura
MOBBAIT	abilities	energy	page	ability	mobbait		Pursuit Diversion
STRUCTUREDESC	structures		parent	structure	structuredesc		Structures
PYLON	structures	energy	page	structure	pylon	PYLON	Crystal Pylon
CASTING1	structures	basiccraft	page	structure	casting1	CRYSTALS	Casting Room
CASTING2	structures	runecraft	page	structure	casting2	RUNEUSE	Casting Temple
CASTING3	structures	networking	page	structure	casting3	MULTIBLOCK,BLOWREPEATER	Casting Complex
RITUAL	structures	energy	page	structure	ritual	CHARGE	Ritual Altar
INFUSION	structures	multicraft	page	structure	infusion	CHROMA	Infusion Ring
PLAYERINFUSION	structures	multicraft	page	structure	playerinfusion	INFUSE	Infusion Fountain
TREE	structures	endgame	page	structure	tree	POWERCRYSTAL	Lumen Tree
TREESEND	structures	endgame	page	structure	tree_sender	POWERTREE	Lumen Tree Transmission Focus
REPEATERSTRUCT	structures	networking	page	structure	repeater	RUNEUSE,BLOWREPEATER	Repeater
COMPOUNDSTRUCT	structures	networking	page	structure	compound	REPEATER	MultiAura Repeater
CAVERN	structures	rawexplore	page	block	structshield	CAVERN	Crystal Shrine
BURROW	structures	rawexplore	page	block	structshield	BURROW	Crystal Burrow
OCEAN	structures	rawexplore	page	block	structshield	OCEAN	Ocean Temple
DESERT	structures	rawexplore	page	block	structshield	DESERTSTRUCT	Sandy Burrow
SNOW	structures	rawexplore	page	block	structshield	SNOWSTRUCT	Frozen Outpost
PORTALSTRUCT	structures	endgame	page	structure	portal	@DIMENSION	Portal Beacon
MINIPYLON	structures	energy	page	structure	personal	CHARGE	Focus Frame
BROADCASTER	structures	networking	page	structure	broadcast	MULTIBLOCK,REPEATER	Lumen Beacon
CLOAKTOWER	structures	multicraft	page	structure	cloaktower	KILLMOB	Cloaking Tower
BOOSTTREE	structures	ctm	page	structure	tree_boosted	TURBOCHARGE	Enriched Lumen Tree
BEACONSTRUCT	structures	endgame	page	structure	protect		Protection Obelisk
MINIREPEATER	structures	energy	page	structure	weakrepeater	PYLON	Lumen Repeater
METEOR1	structures	pyloncraft	page	structure	meteor1		Meteor Tower (Green)
METEOR2	structures	endgame	page	structure	meteor2		Meteor Tower (Yellow)
METEOR3	structures	endgame	page	structure	meteor3	DIMENSION	Meteor Tower (Red)
RITUAL2	structures	endgame	page	structure	ritual2	DIMENSION	Enhanced Ritual Altar
GATESTRUCT	structures	endgame	page	structure	telegate	END	Transposition Gate
RELAYSTRUCT	structures	endgame	page	structure	relay	POWERCRYSTAL	Relay Amplification Focus
PYLONBROADCAST	structures	endgame	page	structure	pylonbroadcast	DIMENSION	Atmospheric Lumen Broadcast Frame
PYLONTURBORING	structures	endgame	page	structure	pylonturbo	@TURBOCHARGE	Pylon Enhancement Ring
WIRELESSPED	structures	endgame	page	structure	wirelesspedestal		Lumen Radiation Pedestal
WIRELESSPED2	structures	ctm	page	structure	wirelesspedestal2		Amplified Lumen Radiation Pedestal
DATATOWER	structures	rawexplore	page	structure	datanode	TOWER	Ancient Data Tower
PROGLINKSTRUCT	structures	basiccraft	page	structure	progresslink		Knowledge Entanglement Pedestal
OPTIMISTRUCT	structures	endgame	page	structure	optimizer		Lumen Purification Obelisk
VOIDTRAPSTRUCT	structures	pyloncraft	page	structure	voidritual	VOIDMONSTERDIE,CHARGECRYSTAL	Distortion Elimination Spiral
VOIDTRAPSTRUCTN	structures	pyloncraft	page	structure	nethertrap	VOIDMONSTERDIE,CHARGECRYSTAL	Nether Relocation Focus
LAUNCHPADSTRUCT	structures	basiccraft	page	structure	launchpad		Vertical Propulsion Panel
BIOMESTRUCT	structures	multicraft	page	block	colorlock	BIOMESTRUCT	Elemental Lock
